rg,rn,ta,vpd,swc,ts,rh,pm2_5,pm2_5_raw,pm2_5_pred
4.706472,-80.49296,-1.2616,423.3806,0.1697538,2.3,18.02302,1.6536916666666668,,
1.18511,-80.05257999999999,-2.0728,391.4934,0.1697714,2.312,19.08016,1.74004,,
1.046752,-79.25698,-2.412,380.3452,0.1698922,2.332,19.49928,2.69164,,
1.048416,-78.3171,-2.5916,373.8114,0.1699154,2.352,19.86702,3.70061,,
1.047644,-77.2671,-2.7366,367.5896,0.1698458,2.372,20.39918,7.0527,,
1.050126,-76.18744,-2.8838,361.1454,0.1700412,2.392,20.93152,21.7786,,
1.048962,-75.52036,-2.9272,359.9168,0.1700798,2.4,20.94052,18.7515,,
1.04688,-74.42714,-3.0856,354.822,0.1700862,2.4,21.14936,24.8057,,
1.045898,-73.69686,-3.1626,352.0636,0.1701316,2.4,21.2172,30.8599,,
1.046302,-72.96632,-3.3068,348.1848,0.1701794,2.4,21.29702,27.8328,,
1.045994,-72.4362,-3.3232,348.9688,0.1701458,2.4,21.18654,19.12085,,
1.047082,-72.04246,-3.2166,352.30060000000003,0.1700478,2.4,20.9479,17.79687,,
1.045632,-71.74568000000001,-3.2048,352.7508,0.1699786,2.4,20.83526,18.81132,,
1.044138,-71.36428000000001,-3.339,349.3464,0.1698386,2.4,20.89688,19.21586,,
1.043054,-71.31484,-3.3668,347.82620000000003,0.169783,2.4,20.97964,18.50461,,
1.041112,-70.7656,-3.7958,334.004,0.1697092,2.4,22.05262,17.27963,,
1.042056,-69.84504,-4.2186,321.09520000000003,0.1698473999999999,2.4,22.79846,16.05618,,
1.042918,-69.33882,-4.293,317.5776,0.1698848,2.388,23.19228,14.41388,,
1.042168,-68.44216,-4.5966,308.0774,0.1700786,2.368,24.04074,12.95326,,
1.043048,-67.59896,-4.9336,297.4458,0.170148,2.348,24.90988,12.09577,,
1.0449,-66.48504,-5.1534,291.116,0.1701408,2.328,25.39088,11.23935,,
1.047454,-65.74878000000001,-5.3398,284.3886,0.1701316,2.308,26.09656,10.08973,,
1.047476,-64.96728,-5.723,273.6152,0.1701888,2.3,26.88916,9.06729,,
1.046112,-64.69778,-5.8172,269.6936,0.1701606,2.3,27.2395,8.46704,,
1.045334,-64.19248,-5.984,264.8648,0.170175,2.3,27.63042,7.86753,,
1.043736,-64.48602,-5.9492,265.1776,0.17018,2.3,27.58796,7.06278,,
2.243764,-63.4835,-6.0738,262.0924,0.1701331999999999,2.3,27.86086,6.34706,,
7.47973,-59.09146,-6.1494,259.8812,0.1700794,2.3,28.09186,5.92688,,
9.090325,-57.67515,-6.23475,257.2955,0.17004275,2.3,28.3666,5.50723,,
11.773656666666666,-55.6065,-6.291333333333333,255.9946666666667,0.1699493333333333,2.3,28.5002,4.943919999999999,,
17.137819999999998,-51.24105,-6.276,256.833,0.1700249999999999,2.3,28.43605,4.44293,,
130.5526909090909,64.13602545454546,-1.6212727272727272,372.9952727272727,0.1697043636363636,2.3,29.50419090909091,4.14882,,
201.44892,137.213098,-0.2844,431.3966,0.1696606,2.3,27.16069,3.85508,,
266.5851,203.591,0.5462,480.8401,0.1696278,2.3,25.19962,3.46077,,
316.5632,250.4886,1.4325,529.5294,0.1696947,2.3,23.06985,3.11008,,
356.3703,285.3026,2.3255,582.0276,0.1696595,2.3,20.51324,2.9042,,
385.203,307.1867,3.0207,625.0034,0.1696751,2.3,18.63691,2.69857,,
400.3676,313.7513,3.5394,654.4697,0.1697353,2.3,17.5897,2.42254,,
400.2955,304.8447,3.8748,673.2965,0.1697574,2.3,16.94068,2.17705,,
383.9119,280.7845,4.1961,694.3709,0.1697218,2.3,16.14138,2.03465,,
354.1614,246.6608,4.5071,709.9599000000001,0.169777,2.3,15.37655,1.89415,,
